name,openalex_id,works_count,cited_by_count,last_known_institution
Brian W. Skelton,A5006709826,6425,39783,Mater Research
Sanjeev Sharma,A5100365785,4220,59607,Anna Needs Neuroblastoma Answers
Allan H. White,A5111772541,2531,36013,Thammasat University
J. Reedijk,A5086816309,2336,61454,Washington State University
Elliot K. Fishman,A5020241070,1776,63875,"University of Maryland, Baltimore"
Masahiko Abe,A5043272430,1420,27553,Institute of Materials Structure Science
Geoffrey I. Webb,A5058054791,1350,29861,La Trobe University
Karl Peltzer,A5089007961,1301,30680,Asia University
Nayoung Kim,A5100348065,1293,27137,Kyonggi University
Chengqi Zhang,A5100438525,1213,27092,Anhui Science and Technology University
Enhong Chen,A5048237545,1183,27290,University of Science and Technology of China
Stuart A. Rice,A5020706311,1133,47542,Exponent (United States)
François Nosten,A5114377516,1095,66513,Universidade Federal Fluminense
Peter H. Seeberger,A5008512379,1059,43383,Universitat Rovira i Virgili
Yong Poovorawan,A5079500426,987,21654,Mahasarakham University
Uday Popat,A5066894053,973,16324,Houston Methodist
Theodore S. Hong,A5044225007,938,22224,Deloitte (United States)
Gcf Chan,A5018585615,924,15159,University of Tennessee at Knoxville
Daniel M. Prevedello,A5070165727,918,18161,Northwestern University
Tianyou Chai,A5042520521,914,20808,Shandong Institute of Automation
Ricardo L. Carrau,A5012197294,846,29318,Indiana University School of Medicine
Christopher T. Chan,A5020996643,846,17447,Ottawa Hospital
Liang Li,A5100441194,789,12794,University of Hertfordshire
Jian Pei,A5062247330,773,81360,Southeast University
Richard H. Osborne,A5059234240,771,79544,National Research Council
Laurent Kaiser,A5064865817,771,29427,Imperial College London
Ning Zhong,A5022096691,753,10502,Association for Computing Machinery
Yang Kim,A5073854687,728,5703,Kumamoto University
Choonkil Park,A5008506821,718,6673,Zahedan University of Medical Sciences
Zhi‐Hua Zhou,A5100621138,698,60618,The University of Osaka
Sittiruk Roytrakul,A5084521790,696,9733,Tri-Service General Hospital
Ee‐Peng Lim,A5039617569,692,17083,Barclays (United Kingdom)
Somsak Ruchirawat,A5059353232,688,12113,Ural Federal University
Sy Ha,A5038930904,665,23179,St George's Hospital
Christopher T. Elliott,A5024014610,660,22588,BTG International (United Kingdom)
Robert J. Unwin,A5031062920,651,18558,Addenbrooke's Hospital
João Gama,A5114376321,634,22039,Arizona State University
David Grant,A5027387690,631,18014,John Radcliffe Hospital
Piyasan Praserthdam,A5001087403,610,11990,Chulalongkorn University
F. Scuri,A5105509554,607,10156,University of Pisa
Bruce A. McCarl,A5043303469,597,22929,Purdue Pharma (Canada)
Stephen G. Pyne,A5005497056,578,7781,The University of Western Australia
Jay Lee,A5100686648,565,29399,University of Cincinnati Medical Center
Nagahiro Saito,A5035054143,562,9324,The University of Osaka
Karen C. Carroll,A5041735503,561,28026,Princeton University
Jaideep Srivastava,A5002187701,535,18176,Hamad bin Khalifa University
Mitsuru Ikeda,A5102900189,534,5652,Keio University
Dinh Phung,A5036447132,526,11231,Thammasat University
Gavin Brown,A5045077650,522,11713,Thammasat University
Thomas M. Link,A5109574516,516,23291,University Medical Center Freiburg
Jie Wang,A5115883408,513,14131,Qingdao Agricultural University
Saurabh Kumar,A5026060508,512,8000,Robert Wood Johnson University Hospital
Sujittra Youngme,A5062520374,490,3674,Universitat de Barcelona
Alan H. S. Chan,A5058159907,486,8899,Hong Kong Council on Smoking and Health
Paul Brogan,A5059983393,484,16035,Norwegian University of Science and Technology
Rui Wang,A5100431342,482,5274,Naval University of Engineering
Xiuping Chen,A5061972415,466,13576,Academy of Medical Sciences
Koichi Maekawa,A5027042429,465,8482,Nippon Steel (Japan)
Hitoshi Yamada,A5101414077,463,5493,Kagawa Prefectural College of Health Sciences
Jose Arturo Garza‐Reyes,A5016950841,459,19035,Universidad Ateneo de Monterrey
Tonni Agustiono Kurniawan,A5070104049,458,18173,University of Eastern Finland
Adisorn Tuantranont,A5005763365,456,12239,Suranaree University of Technology
Olivia Keiser,A5011657274,455,15199,Global Forum for Health Research
Jing Tang,A5083397767,454,13948,Zhejiang Chinese Medical University
Cécile Berri,A5111939413,451,5545,Suranaree University of Technology
T. Nguyen‐Thoi,A5053998535,448,23182,Industrial University of Ho Chi Minh City
Jing Tang,A5006160595,436,24892,City College of New York
Le-Minh Nguyen,A5077641909,436,4425,National Taiwan University
Edward G. McFarland,A5048075689,433,9680,Stryker (United States)
Chua‐Chin Wang,A5077220045,433,2802,Taiwan Semiconductor Manufacturing Company (Taiwan)
Christoph Bergmeir,A5010495833,428,8031,University of Science and Technology of China
Takashi Washio,A5047241375,425,4640,University of Science and Technology of China
Md Mizanur Rahman,A5100682231,424,4107,United States Army Medical Research Institute of Infectious Diseases
D.J.M. van der Voordt,A5041790232,419,3451,HAN University of Applied Sciences
Suraparb Keawsawasvong,A5037247026,411,6724,King Mongkut's University of Technology North Bangkok
Prema‐chandra Athukorala,A5032431476,409,6256,Crawford University
Franco Zunino,A5033312783,408,13415,Tumori Foundation
Jacques Vicens,A5109718432,408,8158,Chulalongkorn University
Aks Chiang,A5010231188,407,7233,Prince of Wales Hospital
Albert Bifet,A5080970505,406,16386,Ab Medica (France)
Anne Lesage,A5023874849,400,19581,Johnson & Johnson (Switzerland)
Albert Ong,A5015914541,396,11287,Charing Cross Hospital
Catherine Lee,A5031364359,396,6535,Acorda Therapeutics (United States)
Wahyudi Sutopo,A5041117882,396,2133,National Nuclear Energy Agency of Indonesia
Kyoung‐Woong Kim,A5000549986,385,12403,Jeonbuk National University
Lorenz von Seidlein,A5029292055,383,19442,Aberystwyth University
Pornsit Jiraporn,A5085978227,381,9237,Thammasat University
Élisabeth Baéza,A5012149390,380,4807,Institut National de la Recherche Agronomique
Shinji Yamasaki,A5084196556,367,14173,National Institute of Cholera and Enteric Diseases
Sachio Hirokawa,A5006267512,366,1129,The University of Osaka
Seunghee Han,A5046898235,365,2784,Thammasat University
Lakshman P. Samaranayake,A5113577256,364,11085,King Saud University
Kittipong Chainok,A5041352735,362,930,Graz University of Technology
KC Santosh,A5087790566,361,6205,Thammasat University
Daniel F. Schmidt,A5046316602,358,10973,St Vincent's Hospital Melbourne
Terence Tai‐Leung Chong,A5065929875,357,3909,Mahidol University
Kesara Na‐Bangchang,A5002736566,355,6467,Armed Forces Research Institute of Medical Science
Peter Warr,A5084920108,355,4941,Asian Development Bank Institute
Mati Horprathum,A5017445632,353,3560,Tama University
Hiroshi Motoda,A5055573686,346,17226,United States Air Force Office of Scientific Research
Van‐Nam Huynh,A5067088014,331,3690,Dalian Polytechnic University
Bodo B. Schlegelmilch,A5079010914,331,13375,ift Rosenheim
Yasuo Tan,A5106403018,324,1849,Japan Advanced Institute of Science and Technology
Davinder Kaur,A5032572076,321,7990,Indian Institute of Management Amritsar
David Young,A5090950052,317,2639,Royal Northern College of Music
Wanpen Chaicumpa,A5001937106,315,12250,Chulalongkorn University
Jin‐Jian Lu,A5100606222,312,14305,University of Macau
Amandeep Dhir,A5008359350,311,28752,University of Turku
Thomas J. Smith,A5101773552,309,6427,Thammasat University
Kyaw Thu,A5024954136,308,7492,University of Liverpool
Wanchai Maleewong,A5047582554,306,4781,Mahasarakham University
Yves Lepage,A5060121645,302,4285,Institut National de Santé Publique du Québec
Nguyễn Thanh Tùng,A5100610739,302,2630,Vietnam Academy of Science and Technology
Dankmar Böhning,A5035868878,299,5798,Sapienza University of Rome
G.A. Van Albada,A5019470342,296,3368,Thammasat University
Edgar Chambers,A5081885625,296,9330,Kasetsart University
Shi‐Jinn Horng,A5038219098,295,7981,National Tsing Hua University
Neal M. Davies,A5027225356,294,12346,Washington State University
Cuong Viet Nguyen,A5050413008,289,4268,University of Electro-Communications
Kimberly Gilmour,A5085859205,289,20790,Global Institute for Water Security
Haibo Zhang,A5100415763,289,8854,Ministry of Education of the People's Republic of China
George P. Lomonossoff,A5091482962,286,13915,Naval Research Laboratory Center for Bio/Molecular Science and Engineering
Arunporn Itharat,A5002053471,278,3125,Thammasat University
Anucha Apisarnthanarak,A5111903241,270,6670,University of Pittsburgh
Huey‐Kang Sytwu,A5087218302,268,8299,Tri-Service General Hospital
Graham Williams,A5060825460,267,12296,Queen Elizabeth Hospital
Rafael Auras,A5062990278,267,19429,Michigan State University
Nguyễn Thanh Bình,A5100635560,266,2378,Ton Duc Thang University
Muhammad Jamil,A5101856432,265,2042,LeMoyne–Owen College
Pa‐thai Yenchitsomanus,A5009328108,263,6325,Wakayama Medical University
Alfredo Campos,A5003379984,262,2072,Institución Universitaria Esumer
В. И. Воронкова,A5069750047,262,2034,Indian Institute of Science Bangalore
Jacob M. Buchowski,A5067071167,261,9264,National Institutes of Health
Imran Ahmad,A5101953929,259,3866,Princeton University
Pewpan M. Intapan,A5054344814,258,4407,Siriraj Hospital
Min-Ling Zhang,A5079083101,258,15182,Fujian Agriculture and Forestry University
Ngoc Duy Nguyen,A5083975154,257,1998,Institut de Physique
Jyant Kumar,A5052253355,256,6222,Jaypee University of Information Technology
Toshiaki Kondo,A5060305629,256,2641,Kootenay Association for Science & Technology
Jaroon Jakmunee,A5065238140,256,4649,Center for Innovation
Mathirut Mungthin,A5065169507,254,6623,Thammasat University
Supree Pinitsoontorn,A5087993626,254,4077,Ministry of Education
Phaik Yeong Cheah,A5016275368,251,9091,Shoklo Malaria Research Unit
Prasat Kittakoop,A5002924322,250,6583,Chulalongkorn University
О.А. Алексеева,A5040719520,250,832,Hiroshima University
Xiaojuan Li,A5100461137,250,7548,Cleveland Clinic Lerner College of Medicine
Narongsak Chaichit,A5109289969,248,2405,Khon Kaen University
Hoon Lee,A5100667500,247,1585,Thammasat University
Dinh Tran Ngoc Huy,A5044845498,244,982,Apollos University
Laura M. Fayad,A5008041103,243,6806,Johns Hopkins Bayview Medical Center
Cameron Hurst,A5042751877,243,3266,Thammasat University
Wichai Aekplakorn,A5075301528,243,27111,Thammasat University
Hiroshi Egusa,A5080030836,243,5395,Okayama University
Despina Eleftheriou,A5085179292,242,4854,Great Ormond Street Hospital for Children NHS Foundation Trust
Weerakorn Ongsakul,A5079127414,240,5099,Electricity Generating Authority of Thailand
Huan Liu,A5100339061,240,3606,Tsinghua University
Yang Yu,A5100458530,240,1915,Tianjin University of Science and Technology
Chulabhorn Mahidol,A5039398267,238,11204,Institute of Science and Technology
Michael J. Sheridan,A5091329283,237,8693,Office of Extramural Research
Mark Speece,A5045548235,236,4425,University of Alaska Southeast
Yan Yang,A5024061265,235,1795,Anhui University of Technology
Charles E. Smith,A5006941646,233,7620,Royal Victoria Hospital
Roberto Rojas‐Cessa,A5076241092,232,2791,New York University
Lhassane Idoumghar,A5077151661,232,5264,Département Mathématiques et Informatique Appliquées
Chuchart Pintavirooj,A5039448926,229,1168,King Mongkut's Institute of Technology Ladkrabang
Peter Rosset,A5091829704,228,6905,Universidade Estadual Paulista (Unesp)
Ratha‐Korn Vilaichone,A5064255411,227,3240,Hodges University
Shawn Vasoo,A5034590888,224,9288,"John H. Stroger, Jr. Hospital of Cook County"
Issarachai Ngamroo,A5009659378,223,3905,Thammasat University
Ronald J. Zagoria,A5046127670,223,7713,University of Utah
Wutiphol Sintunavarat,A5011375789,222,3601,Thammasat University
Ting Zhou,A5008363243,221,3042,Guangdong Ocean University
Chongrak Polprasert,A5033454491,221,4792,Chulalongkorn University
Jane Kaye,A5049770889,221,32995,University of Exeter
Jenny Kim,A5069450479,220,3311,Ross University School of Veterinary Medicine
Erik R. Christensen,A5079102008,219,5794,American Society of Civil Engineers
Andrei Volodin,A5023638482,218,1943,University of L'Aquila
Thanaruk Theeramunkong,A5083358892,217,1445,Pathumthani University
Yan Yan,A5100395045,217,2953,State Key Laboratory of Inorganic Synthesis and Preparative Chemistry
Anurat Wisitsoraat,A5114246994,217,5702,National Electronics and Computer Technology Center
Juntra Karbwang,A5045836221,216,8051,Wellcome Library
Huỳnh Thị Thanh Bình,A5072105691,215,2388,Hanoi University of Science and Technology
Felice D’Arco,A5060688952,212,2779,Oxford University Hospitals NHS Trust
Tim R. Cressey,A5009887015,211,17082,ChiangRai Prachanukroh Hospital
Patrick O’Sullivan,A5109415675,210,1311,Northwestern University
John F. Cady,A5006017555,209,1528,International Monetary Fund
Bradley A. Otto,A5112091898,209,2508,Barrow Brain and Spine
Germain Forestier,A5030958578,208,7912,Université de Haute-Alsace
Kyu-Young Whang,A5021272202,205,3827,Nanjing University
Bertan Bakkaloğlu,A5024809556,205,3134,Arizona State University
Anand Marya,A5008382937,204,2138,University of Bolton
Marit Hansen,A5009359695,204,3226,Ludwig-Maximilians-Universität München
Derek D. Lichti,A5010635267,204,4926,Thammasat University
Charles H. Tegeler,A5057992134,204,5401,"University Hospital, Newark"
Phadungsak Rattanadecho,A5072464250,203,3963,Pathumthani University
M. Aldeen,A5080426150,203,3198,Data61
Janne Estill,A5008028828,202,3477,University of Geneva
Christina W.Y. Wong,A5060313783,202,9120,University of Hong Kong
Sandhya Babel,A5065323250,202,12019,Thammasat University
María Virginia Villegas,A5075014516,199,16260,National Institute of Standards and Technology
Hirohiko Kaneko,A5109309910,199,1147,Hirosaki University
Jaursup Boonmak,A5062452430,198,1588,Thammasat University
Abolfazl Razi,A5011987346,197,2171,Northern Arizona University
Varocha Mahachai,A5043525059,197,3785,Pathumthani University
Thepchai Supnithi,A5063918994,197,1103,National Electronics and Computer Technology Center
Kazuo Takeda,A5030131384,194,2382,Ibaraki Children's Hospital
Shahid Mehmood,A5003944425,193,3868,Université Joseph Fourier
Kevin Tan,A5043254593,193,1874,Tokyo University of Science
J. Csikai,A5068866600,191,2161,Forschungszentrum Jülich
Jayanton Patumanond,A5085551591,191,1683,Thammasat University Hospital
Yan‐Ling Wu,A5089869894,191,4230,Shanghai Medical College of Fudan University
Xin Li,A5100353862,191,2016,Tengzhou Central People's Hospital
Duncan McCargo,A5001215079,190,2831,The University of Sydney
Vladimir Kouprianov,A5065037262,190,4528,Russian Academy of Sciences
Kaushik Basu,A5002446857,188,2808,University of Minnesota System
Annunziato Amendola,A5103214788,187,4923,American Orthopaedic Society for Sports Medicine
Itsuo Kumazawa,A5024015306,185,754,Institute for Future Engineering
Kostas Senetakis,A5076241848,183,5282,Aristotle University of Thessaloniki
Bundit Limmeechokchai,A5058320038,180,2389,Asian Institute of Technology
Surasak Saokaew,A5062702667,180,4091,Thammasat University
Steve Ahuka‐Mundeke,A5080421394,180,4716,Fred Hutch Cancer Center
Jonathan Weber,A5032791589,179,5866,Université de Lorraine
Pongtanawat Khemthong,A5016741678,178,3312,Zoological Park Organization
A. Wisitsoraat,A5113549800,178,5013,National Electronics and Computer Technology Center
P. Krishna Reddy,A5083660084,177,1750,Maebashi Institute of Technology
Thammarat Koottatep,A5035361994,176,3103,Thammasat University
Alison T. Ung,A5050627773,176,2176,Temple University
Rajiv Sinha,A5057538715,176,2049,Post Graduate Institute of Medical Education and Research
Hyun‐Chang Lim,A5058663306,176,2527,Logos Biosystems (South Korea)
Rungsima Wanitphakdeedecha,A5025494704,175,2891,Chiang Mai University
Nasamon Wanlapakorn,A5084305363,175,2750,National Science and Technology Development Agency
Soisungwan Satarug,A5038188646,174,8494,Mahidol University
Beyene Petros,A5054227925,174,5859,Tikur Anbessa Hospital
Hao Wu,A5068084181,174,3254,University of Illinois Chicago
Ram Rangsin,A5003096950,172,5003,Siriraj Hospital
Amorn Petsom,A5023787686,172,3042,Centro de Investigación en Materiales Avanzados
Muhammad Syafi’i,A5041245675,170,412,University of Singaperbangsa Karawang
Tran Van Hoa,A5108089178,170,870,"University of California, Davis"
Panomwat Amornphimoltham,A5009328221,168,4892,University of Dental Medicine
Somnuk Tangtermsirikul,A5037198454,168,2450,Hodges University
Cheryl Hemingway,A5061377933,168,8787,Birmingham Children's Hospital
Joseph Lee,A5100362482,168,1113,Socionext (Japan)
Meow‐Keong Thong,A5090772316,166,3122,Women's and Children's Hospital
Kim Irvine,A5018565985,165,2547,De Montfort University
Athula Rajapakse,A5048454426,165,5643,University of Manitoba
Manuel Campos‐Toimil,A5076980991,165,3492,University of Nebraska–Lincoln
Xiaobing Wang,A5100625057,165,2304,GTx (United States)
Thủy Nguyễn Thị,A5101528271,165,1072,Institute for Tropical Technology
Mark Bolas,A5026406688,164,4848,Bellevue College
Thana Khawcharoenporn,A5076729437,164,2119,UW Health University Hospital
Hyun‐Jung Choi,A5101563393,163,1574,All India Institute of Medical Sciences
Abdul Latif,A5036010588,162,1578,China Medical University
Thuc‐Huy Duong,A5051450131,162,1445,HUTECH University
Tiantian Xu,A5078006294,162,5408,University of Chinese Academy of Sciences
Somchai Chucheepsakul,A5003337636,159,2427,American Society of Mechanical Engineers
Tien Anh Nguyen,A5100705894,159,1732,Pedagogical University
Barkat Ali Khan,A5078081950,157,2999,Pakistan Agricultural Research Council
Virach Sornlertlamvanich,A5023273506,156,872,Technology Centre Prague
Bernd Lepenies,A5035008126,156,4685,Max Planck Institute of Colloids and Interfaces
Matthew N. Dailey,A5035778658,156,3668,American Society For Engineering Education
Jarunee Wonglimpiyarat,A5019507125,154,1915,National Science and Technology Development Agency
Connie Susilawati,A5064160318,152,766,Thammasat University
Stephen B. Walsh,A5065503305,152,4286,Food Safety Authority of Ireland
Kitsuchart Pasupa,A5066462028,152,1239,Thammasat University
Chris Eves,A5107831271,152,593,Thammasat University
Chettiyappan Visvanathan,A5006255355,151,6740,Thammasat University
Jatuporn Wittayakun,A5061020108,151,2311,Shanghai Institute for Science of Science
Vichian Laohakosol,A5009611516,149,331,Centre of Excellence in Mathematics
John T. Sullivan,A5029464236,149,1253,Universities Space Research Association
Sudhanshu Maheshwari,A5049755553,149,2682,Jaypee Institute of Information Technology
Mingyue Ding,A5064234412,149,4215,State Key Laboratory of Chemobiosensing and Chemometrics
Karen Olness,A5032669508,148,3227,Children’s Minnesota - St. Paul Hospital
Tjalling de Haas,A5087809955,147,2551,Durham University
Kittisak Kerdprasop,A5090601259,147,1142,Srinakharinwirot University
Kimihito Ito,A5024017884,146,3111,National Institute of Allergy and Infectious Diseases
Duangporn Duangthip,A5011519123,145,4216,The Ohio State University
João Mendes‐Moreira,A5028638153,145,2834,Australian National University
Peter Stokes,A5030971888,145,2448,University of Oxford
Stitaya Sirisinha,A5048955963,145,5171,University of Rochester
Nittaya Kerdprasop,A5078033903,145,1134,Southeastern University
Stanislav S. Makhanov,A5006833857,144,1636,King Mongkut's Institute of Technology Ladkrabang
Natt Makul,A5078528624,144,4328,Pennsylvania State University
Jessada Karnjana,A5084460378,144,669,National Science and Technology Development Agency
Yves Waché,A5027840151,143,3914,École Normale Supérieure - PSL
Carol Hopkins Sibley,A5051904927,143,6191,National Institutes of Health
Chanatip Samart,A5067512623,143,4410,Nankai University
J. Manuel Revuelta Barbero,A5071594841,143,406,Hospital Clínico San Carlos
Pei‐Ni Chen,A5050578985,142,4608,Mahidol University
Yanfei Xu,A5022315049,141,7498,University of Massachusetts Amherst
Prasit Futrakul,A5057498843,141,1563,King Chulalongkorn Memorial Hospital
Vilas Wuwongse,A5110195292,141,748,Norwegian University of Science and Technology
Frank Milne,A5086338768,138,1922,University of Birmingham
Marta E. Heilbrun,A5087645452,138,2935,East Texas Medical Center
Adryan Fristiohady,A5033205735,137,548,University of Vienna
Youji Kohda,A5047323442,137,711,The University of Osaka
Tim Andrews,A5081050423,137,1353,University of Bristol
Kriengsak Panuwatwanich,A5072505908,136,3366,Nakhon Si Thammarat Rajabhat University
Paisan Ruamviboonsuk,A5082967971,136,5956,Ministry of Public Health
Jirapast Sichaem,A5074528425,135,1016,Chulalongkorn University
Chanunthorn Chananonnawathorn,A5078269433,135,1251,Thammasat University
John B. Imboden,A5090990660,135,8649,Bristol-Myers Squibb (United States)
