skill_name,cluster_id
operate agricultural machinery,1650
maintain equipment,1579
cut fabrics,3062
lisp,4805
inspect heavy underground mining machinery,139
military logistics,1532
document prior learning assessments,531
administer treatments to fish,21
supervise unloading of cargo,779
work with supporting team in community arts programme,3421
identify plants characteristics,6099
perform environmental remediation,2069
design an electric heating system,2156
prepare mould for vacuum forming,8897
control engineering,145
manufacture man-made fibres,6644
manage cargo handling,779
implement cloud security and compliance,5062
use electrical wire tools,990
maintain camping facilities,4852
assess performance in sport events,1478
beverage products,8527
conduct post tanning operations,1291
prepare site for construction,147
follow water supply schedule,9237
tend hot extrusion machine,274
prepare animals for anaesthesia,3238
interact verbally in croatian,2031
escapee contingency plans,8240
operate oxy-fuel cutting torch,7850
work with an artistic team,219
develop corporate training programmes,374
create digital content,8927
maintain lighting equipment,1558
set up media integration systems,1051
market research,3598
immunohaematology,432
develop environmental policy,1420
repair vehicle electrical systems,1948
prepare financial auditing reports,3456
respiratory medicine,8242
handle radiopharmaceuticals,1672
design geothermal energy systems,756
perform clinical coding procedures,4750
electrical safety regulations,469
operate turf management equipment,1773
draw stage layouts,9162
understand written belarusian,988
design microclimates in buildings,9163
develop gambling games,1149
apply music therapy methods,768
inspect maritime operations,2901
market entry strategies,386
assemble microelectromechanical systems,2526
person centred care,5801
supervise dental staff,708
develop food policy,4080
implement sales strategies,1814
project management,4196
interact verbally in czech,2031
machine tools,1095
neurophysiology,1922
perform metal active gas welding,7092
anchors used in inland water transport,8235
memorise lines,8420
safe work practices in a veterinary setting,1691
animal production science,1009
use cae software,7957
maintain mine machinery,1875
apply freinet teaching strategies,5163
parasitology,457
create flower arrangements,1030
understand written yiddish,2185
psychological counselling methods,8650
pesticides sprayers,1010
manage digital identity,802
manage rainwater,4952
carry out equine dental procedures,1956
manage ground maintenance,5256
execute marketing plan,449
maintain laboratory equipment,84
interpret findings from medical examinations,7941
metalworking tools,1095
provide customised products,7418
blend tobacco leaves,1075
care for horses,1342
participate in the development of new food products,2164
research welding techniques,1514
manage warehouse organisation,6
enforce railway safety regulations,279
develop hazardous waste management strategies,377
footwear and leather goods marketing planning,4298
product usage risks analysis,5816
design microelectromechanical systems,1864
implement evaluation methods in music therapy,768
create puppets,1384
neuropsychiatry,3072
set up aquaculture cage mooring system,5767
hot vulcanisation,7875
design materials for multimedia campaigns,7219
set up pricing strategies,1310
manage sumps,5503
design miniature sets,4256
prevent theft,2374
thermal materials,160
cadd software,3841
business process modelling,1098
design an artificial lighting system,2490
use water navigation devices,3511
repair electric bicycles,255
narrow web flexographic printing press,87
inspect electrical supplies,6978
apply footwear bottoms pre-assembling techniques,909
conduct mobile marketing,7495
create 3d characters,1023
animal training,2601
mathematical economics,7523
provide health psychological treatment advice,740
perform paediatric surgery,7739
maintain personal hygiene standards,3159
apply colour grading,7576
maintain pipeline coating properties,1945
communicate using the global maritime distress and safety system,1502
design a solar absorption cooling system,8041
create production schedules,152
monitor larval development,8206
use dialect,6201
follow safety procedures when working at heights,8878
advise on chemical use reduction,5974
analyse types of footwear,7689
stem cells,8413
select fruits and vegetables,1453
measure sugar refinement,2630
assemble video tape footage,8607
adjust the varnish mixture,101
carry out maintenance of aquaculture equipment,2136
e-procurement,9296
landscape architecture,416
develop green compounding solutions,2824
operate distilling equipment,3650
maintain desalination control system,5268
execute integration testing,6509
apply sport games rules,459
inspect sewers,151
operate specialised equipment in emergency,2515
lawn care,363
draw sketches to develop textile articles using softwares,651
manual draughting techniques,5737
implement customer follow-up,4884
liaise with educational support staff,8211
counsel on end-of-life care,9298
develop a choreographic language,594
collect damages,4901
perform small vessel safety procedures,493
provide palliative care,2079
wicker materials,4025
operate forestry equipment,131
provide health education,8086
conflict management,6341
develop microelectromechanical system test procedures,1662
test the rail-flaw-detection machine,2088
operate stage movement control system,5253
control train movement,1400
tourism sector policies,23
analyse internal factors of companies,7530
social innovation,769
collect aquatic resources,508
transport fish,3867
evaluate psychological health measures,767
prevent undesired changes to sound design,5461
provide medication information,1260
manage recirculation systems,1863
initiate contact with sellers,6603
tolerate stress,682
perform fish grading operations,1425
interview animal owners on animals' conditions,853
interact verbally in tamil,4473
make abstracts,5768
international regulations for cargo handling,1607
apply fish harvest methods,1134
operate rotary press,8030
support veterinary diagnostic procedures,2038
implement strategic planning,2656
promote agricultural policies,4140
preserve airport maintenance equipment,3192
integrate ict data,2388
conduct performance measurement,503
operate fishing equipment,856
develop organisational policies,5208
measure fruits or vegetables,1944
create storyboards,1364
ict recovery techniques,1591
instruct library users in digital literacy,4104
leather goods manufacturing processes,898
ict project management,2289
urolithiasis in the urinary tract,5153
supervise script preparation,6310
understand written ancient greek,3321
apply hair cutting techniques,2732
operate private branch exchange,5695
thanatology,6467
operate forklift,3602
ensure maintenance of the advertising furniture,888
manufacture woven fabrics,254
examine budgets,1237
apply footwear uppers pre-assembling techniques,909
blockchain history,9285
maintain pharmaceutical records,3108
protective safety equipment,7910
envelope systems for buildings,7617
drive ambulance under non-emergency conditions,1131
drip candles,8603
demonstrate functionality of video games,1017
coordinate shipments of waste materials,2310
prepare timelines for pipeline development projects,6899
leather goods materials,898
conduct foster care visits,8594
perform water analysis,4440
maintain vehicle records,7820
earth science,1869
supervise accounting operations,7088
engage with stakeholders,1287
apply soldering techniques,1218
cut vacuum formed workpiece,6245
teach windsurfing,6437
calculate oil deliveries,7250
promote recreation activities,1610
manage waste rock,8469
manage changes in ict system,2743
operate corrugator,8423
management consulting,7408
design training programmes for animals,9256
operate offset printing machine,2266
synthesise information,7483
schedule recreation facilities,8982
develop calibration procedures,2172
apply radiation protection procedures,1657
explain financial jargon,4876
weigh shipments,7665
tend hot rolling mill,8697
apply airport lighting maintenance procedures,98
create plant displays,5434
create brand guidelines,7789
administer radiation treatment,3608
trade future commodities,7861
environmental legislation,1422
provide fitness customer care,4326
organise rehearsals,3662
design dams,7209
simplify communication in maritime management,1502
maintain extrusion machines,7477
accept feedback on artistic performance,64
adjust feeder tubes,7675
stock market,3918
provide specialist pharmaceutical advice,7249
advise on medical products,1242
hospitalised animal nursing care,1
tend cnc grinding machine,698
explain interview purposes,7503
fit low vision aids,8339
polish stone by hand,3172
prepare ready-made dishes,8409
draw blueprints,610
quantum mechanics,654
monitor the discharge of cargo,6250
advertise auction sales,8506
standards for web-based e-learning,8567
adjust scraper bars,6574
adapt developed game to the market,6387
hazards associated with loading dangerous goods,8649
manage import export licenses,8698
use communication devices,996
electron beam welding processes,182
software anomalies,8775
develop standard operating procedures in the food chain,8811
asbestos removal regulations,8845
metal bending techniques,8078
test fragrances against customer satisfaction,8899
contextualise artistic work,8936
monitor chemical process condition,8963
monitor bond market,9027
product packaging requirements,2186
investigate contamination,8909
manufacturing of smoked tobacco products,697
informatica powercenter,9191
investigate complaints related to consumer protection,9176
operate bottom supported cable-propelled vehicles,8885
select acupuncture points,9228
evaluate coffee characteristics,890
make decisions regarding forestry management,261
handle building materials,1000
legal requirements of ict products,6752
astrology,3039
questioned document examination,9218
assess social work students,9018
herpetology,457
textile measurement,829
encourage counselled clients to examine themselves,6809
monitor operations of cleaning machines,753
maintain wardrobe,4807
tend drop forging hammer,7208
maintain genetic registers,4859
mechanics of vessels,1019
spread fertiliser,656
protect surrounding area during chimney sweeping process,935
manage engineering project,81
scan negatives,4181
e-learning software infrastructure,1003
